Name,Label
aru-001__cwr_temp,Chilled_Water_Return_Temperature_Sensor
ahu_02_discharge_air_temp,Discharge_Air_Temperature_Sensor
ahu_02_return_air_temp,Return_Air_Temperature_Sensor
vav-12_zone_temp,Zone_Air_Temperature_Sensor
ahu_03_mixed_air_temperature,Mixed_Air_Temperature_Sensor
weather_station_oa_temp,Outside_Air_Temperature_Sensor
vav-12_supply_air_flow,Supply_Air_Flow_Sensor
ahu_02_supply_static_pressure,Supply_Air_Static_Pressure_Sensor
vav-12_cooling_cmd,Cooling_Command
vav-12_heating_cmd,Heating_Command
ahu_02_supply_fan_status,Fan_Status
ahu_03_oa_damper_cmd,Damper_Position_Command

